Konya,Other,IL,3452382.0
Samsun,Other,IL,3248660.0
Osmaniye,Other,FC,3376145.0
İstanbul,Big Cities,FC,3600467.0
Kastamonu,Other,IL,3273041.0
Diyarbakır,Other,FC,2738052.0
Ankara,Big Cities,FC,2383840.0
Kütahya,Other,FC,2993069.0
Eskişehir,Other,IL,4155435.0
Bursa,Other,FC,3351383.0
Ankara,Big Cities,FC,1904842.0
Ankara,Big Cities,FC,2732645.0
İstanbul,Big Cities,IL,3784230.0
Karabük,Other,FC,3807496.0
İstanbul,Big Cities,FC,6694797.0
Eskişehir,Other,FC,3778621.0
Bursa,Other,FC,1999097.0
İstanbul,Big Cities,IL,1847826.0
İstanbul,Big Cities,FC,4066618.0
Antalya,Other,FC,4888774.0
İstanbul,Big Cities,IL,3818055.0
İstanbul,Big Cities,IL,4882985.0
Kastamonu,Other,IL,3273041.0
İzmir,Big Cities,FC,1756069.0
İstanbul,Big Cities,IL,4286645.0
İstanbul,Big Cities,IL,3836721.0
İstanbul,Big Cities,FC,4807746.0
Ankara,Big Cities,IL,3871344.0
İzmir,Big Cities,IL,2525375.0
İzmir,Big Cities,IL,2525375.0
Ankara,Big Cities,FC,1904842.0
İstanbul,Big Cities,IL,4882985.0
Ankara,Big Cities,FC,4219263.0
İstanbul,Big Cities,IL,4705945.0
Ankara,Big Cities,IL,2740687.0
İstanbul,Big Cities,FC,4350573.0
İstanbul,Big Cities,FC,8213524.0
İstanbul,Big Cities,FC,3600467.0
İstanbul,Big Cities,IL,4491607.0
İstanbul,Big Cities,IL,8904084.0
İstanbul,Big Cities,FC,7217634.0
Diyarbakır,Other,FC,6412623.0
İstanbul,Big Cities,IL,6836483.0
İzmir,Big Cities,FC,1756069.0
İstanbul,Big Cities,FC,4350573.0
Bursa,Other,FC,3351383.0
İstanbul,Big Cities,IL,2390534.0
Tokat,Other,IL,2675511.0
İzmir,Big Cities,FC,3445076.0
İstanbul,Big Cities,IL,5966193.0
Konya,Other,FC,1882131.0
İstanbul,Big Cities,FC,6782425.0
Bolu,Other,FC,4263629.0
İstanbul,Big Cities,IL,3784230.0
Samsun,Other,FC,2371202.0
Samsun,Other,FC,5595267.0
İstanbul,Big Cities,IL,4491607.0
İzmir,Big Cities,FC,8894598.0
İstanbul,Big Cities,FC,3426169.0
Ankara,Big Cities,IL,1734634.0
Şanlıurfa,Other,FC,3261924.0
Tekirdağ,Other,FC,4429512.0
İstanbul,Big Cities,FC,5461700.0
Antalya,Other,FC,3258837.0
Diyarbakır,Other,IL,2055379.0
Antalya,Other,FC,3258837.0
Sakarya,Other,FC,2999068.0
İstanbul,Big Cities,FC,7217634.0
Karabük,Other,FC,3807496.0
İstanbul,Big Cities,FC,8630682.0
Kayseri,Other,FC,2544857.0
Ankara,Big Cities,FC,3347767.0
Samsun,Other,FC,1270499.0
Adana,Other,IL,6313221.0
İstanbul,Big Cities,FC,3426169.0
İzmir,Big Cities,IL,4250553.0
Osmaniye,Other,FC,3376145.0
Antalya,Other,FC,4888774.0
İstanbul,Big Cities,FC,16549064.0
